Assetnumber,AssetName,AssetType,ConstructionType,Maintainance State,Buildyear,Maintainer,Owner,Status,Width,Length,Area,Location,Latitude,Longitude,Passage road-width,Passage road-height,Passage sail-width,Passage sail-height,Technical lifespan expires,OBJECT_GUID,Area,Connection Type,Neighborhood,City,RD-X,RD-Y
2059,Hildebrandbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,8,41.5,332,Hollandsedreef_Literatuurwijk 3,52.362043,5.1883573,7.2,4.3,,,2100,318630A66ABB3498E0535B320A0A7C56,Hollandsedreef,Hoofdwegen,Muziekwijk,Almere Stad,141468.303,486025.314
2062,2e Amersfoortbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,10,11.5,115,BB IJmuidenstraat,52.1082343,4.2800553,7,,9,1.5,2300,318630A66AB13498E0535B320A0A7C56,Amersfoortweg,Hoofdwegen,Stedenwijk,Almere Stad,142670.835,486439.648
2063,Binderijbrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,5.6,13,72.8,Jacob van Maerlantstraat_Binderijbrug,51.685501,5.3225499,5.3,,7.68,2,2100,318630A66AE03498E0535B320A0A7C56,Spoorbaanpad,Groengebieden/Parken,Literatuurwijk,Almere Stad,140839.114,486046.372
2064,Couperusbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,8.6,15.2,130.7,Couperusbrug,40.5114885,-75.390458,5.5,,13.5,1.7,2100,318630A66B413498E0535B320A0A7C56,Couperusweg,Groengebieden/Parken,Literatuurwijk,Almere Stad,141602.671,485847.453
2065,Simon Vestdijkbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,8.5,15.6,132.6,Simon Vestdijkbrug,52.3665343,4.8742534,4.5,,13,1.7,2100,318630A66B593498E0535B320A0A7C56,Simon Vestdijkstraat,Groengebieden/Parken,Literatuurwijk,Almere Stad,141507.656,485555.123
2066,Prozabrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,8.5,15.5,131.8,Prozabrug,,,4.8,,13,1.7,2100,318630A66B5A3498E0535B320A0A7C56,Prozastraat,Groengebieden/Parken,Literatuurwijk,Almere Stad,141255.285,485334.55
2067,Annie M.G.Schmidtbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,9.3,15.6,145.1,Annie MG Schmidtbrug,52.3752564,4.9087933,9,,13,2,2100,318630A66AE23498E0535B320A0A7C56,Annie M.G. Schmidtweg,Groengebieden/Parken,Literatuurwijk,Almere Stad,140869.679,484937.275
2068,Boudewijn Buchbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,4.6,14.7,67.6,Boudewijn Buchbrug,5.8057943,-55.1622912,4.3,0,13,1.7,2100,318630A66BB93498E0535B320A0A7C56,Godfried Bomanspad,Groengebieden/Parken,Literatuurwijk,Almere Stad,141078.01,485238.529
2069,Jaap ter Haarbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,4.6,14.6,67.2,Jaap ter Haarbrug,53.2192634,6.5629872,4.3,0,13,1.7,2100,318630A66AE13498E0535B320A0A7C56,Vasalisstraat,Groengebieden/Parken,Literatuurwijk,Almere Stad,140844.036,485112.042
2070,Cissy van Marxveldbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,4.7,14.5,68.2,Televisiebrug,52.3511317,5.1817128,4.4,0,13,2,2100,318630A66AE33498E0535B320A0A7C56,A.M. de Jongpad,Groengebieden/Parken,Literatuurwijk,Almere Stad,140938.965,484812.355
2071,Johan Fabriciusbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,5.1,29.7,151.5,Johan Fabriciusbrug,52.3524114,5.1850049,4.8,0,9,2,2300,318630A66B5B3498E0535B320A0A7C56,Cissy van Marxveldtstr,Groengebieden/Parken,Literatuurwijk,Almere Stad,141229.546,484961.014
2072,J.B.Schuilbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,4.2,29.7,124.7,JB Schuilbrug,52.3536729,5.1886162,3.9,0,9,1.7,2100,318630A66B5C3498E0535B320A0A7C56,Kabelstraat,Groengebieden/Parken,Literatuurwijk,Almere Stad,141479.646,485090.566
2073,Televisiebrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,4.6,29.8,137.1,Televisiebrug,52.3511317,5.1817128,4.3,0,9,2,2100,318630A66AE43498E0535B320A0A7C56,A.M. de Jongpad,Groengebieden/Parken,Literatuurwijk,Almere Stad,140997.79,484829.86
2074,Felix Timmermansbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,4.5,43.1,193.95,Havendreef_Literatuurwijk 3,52.3541626,5.192585,4.1,4.6,,,2100,318630A66B3E3498E0535B320A0A7C56,Havendreef,Hoofdwegen,Literatuurwijk,Almere Stad,141787.808,485764.619
2251,,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,5.9,265,1563.5,Landdrostdreef,52.3747441,5.2213805,4.9,4.2,,,,318630A66B863498E0535B320A0A7C56,Landdrostdreef,Hoofdwegen,Centrum Almere Stad,Almere Stad,143665.529,487505.61
2252,CS-brug,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,5.6,24.5,137,CS Brug,52.0878834,5.1111478,5,,12,2.9,2100,318630A66B3B3498E0535B320A0A7C56,Spoorbaanpad,Groengebieden/Parken,Centrum Almere Stad,Almere Stad,143783.65,487530.588
2254,Odeonbrug,Verkeersbrug,Concrete,2. Good,1989,SB AIB,Gemeente Almere,Existing,6,26.7,151.1,Slapstickbrug,40.7610988,-73.9679999,0,0,22,2.5,2100,318630A66B2D3498E0535B320A0A7C56,Slapstickpad,Groengebieden/Parken,Centrum Almere Stad,Almere Stad,143825.716,487349.555
2255,Cinemabrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,30.5,30,915,Slapstickbrug,40.7610988,-73.9679999,6.5,0,0,2.6,2100,318630A66B2E3498E0535B320A0A7C56,Stadswetering,Groengebieden/Parken,Centrum Almere Stad,Almere Stad,143974.4773,487210.0393
2257,Ziekenhuisbrug,Fiets-voetbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,6.3,30.5,192.2,Judy Garlandbrug,52.3710598,5.2257219,0,0,5,2.6,2100,318630A66B143498E0535B320A0A7C56,Fongerspad,Groengebieden/Parken,Centrum Almere Stad,Almere Stad,144043.311,486785.507
2264,Mannus Frankenbrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,6.5,28.7,186.5,Ingrid Bergmanbrug,52.3685721,5.2338889,0,0,10,2.5,2100,318630A66B113498E0535B320A0A7C56,Mannus Frankenpad,Groengebieden/Parken,Filmwijk,Almere Stad,144519.739,486444.074
2265,Heinz Ruhmannbrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,6,19.6,117.6,Heinz Ruhmannbrug,40.5954842,-75.4879073,0,0,7,2.3,2100,318630A66B233498E0535B320A0A7C56,Heinz Ruhmannstraat,Groengebieden/Parken,Filmwijk,Almere Stad,144598.394,486691.702
2266,Ingrid Bergmanbrug,Verkeersbrug,Concrete,2. Good,1992,SB AIB,Gemeente Almere,Existing,9.5,30.5,289.9,Nathalie Woodbrug,52.3692744,5.236272,0,0,10.5,2.1,2100,318630A66B123498E0535B320A0A7C56,Ingrid Bergmanstraat,Groengebieden/Parken,Filmwijk,Almere Stad,144549.774,486776.352
2267,Nathalie Woodbrug,Verkeersbrug,Concrete,2. Good,1992,SB AIB,Gemeente Almere,Existing,13.8,33.2,458.2,Nathalie Woodbrug,52.3692744,5.236272,0,2.5,12.5,2.7,2100,318630A66B0F3498E0535B320A0A7C56,Natalie Woodpad,Groengebieden/Parken,Filmwijk,Almere Stad,144696.693,486866.505
2268,Jeanne Moreaubrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,4.7,24.2,113.7,Nathalie Woodbrug,52.3692744,5.236272,0,0,8.5,2.1,2100,318630A66B103498E0535B320A0A7C56,Natalie Woodpad,Groengebieden/Parken,Filmwijk,Almere Stad,144831.923,486945.381
2282,Louis Chrispijnbrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,4.8,29,139.2,Louis Chrispijnbrug,52.362568,5.2365933,0,0,10,2.5,2100,318630A66B183498E0535B320A0A7C56,Fongerspad,Groengebieden/Parken,Filmwijk,Almere Stad,144709.895,486084.16
2284,Lumierestrandbrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,6,28.7,172.2,Joris Ivensbrug,51.8439641,5.8658635,0,0,10,2.5,2100,318630A66B193498E0535B320A0A7C56,Fongerspad,Groengebieden/Parken,Filmwijk,Almere Stad,144724.324,486035.016
2285,Parkwijkbrug,Verkeersbrug,Concrete,2. Good,1992,SB AIB,Gemeente Almere,Existing,11,11.2,123.2,Watercypresstraat 2~192,52.3739024,5.2447048,0,0,10,2,2100,318630A66B133498E0535B320A0A7C56,Parkwijklaan,Woongebied,Parkwijk,Almere Stad,145314.13,487467.83
2286,Boomgaardbrug,Verkeersbrug,Concrete,2. Good,1992,SB AIB,Gemeente Almere,Existing,17,11,187,Magnoliahof,51.377002,6.1324871,0,0,7,2.5,2100,318630A66AD93498E0535B320A0A7C56,Hoefbladpad,Woongebied,Parkwijk,Almere Stad,145339.429,487291.005
2287,Schietwilgbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,9.4,15.5,145.7,Boomgaardbrug,51.186386,3.211724,0,0,13,2,2100,318630A66ADA3498E0535B320A0A7C56,Vleugelnootsingel,Groengebieden/Parken,Parkwijk,Almere Stad,145398.407,487243.18
2288,Pereboombrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,9.5,15.6,148,Pereboombrug,52.3712636,5.2480536,5.5,,13.2,2,2100,318630A66BBA3498E0535B320A0A7C56,Pereboomweg,Groengebieden/Parken,Parkwijk,Almere Stad,145525.064,487044.254
2289,Haagbeukbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,10.5,15.5,162.8,Boomgaardbrug,51.186386,3.211724,0,0,12,2,2100,318630A66AD83498E0535B320A0A7C56,Haagbeukweg,Groengebieden/Parken,Parkwijk,Almere Stad,145270.676,487181.039
2290,Appelboombrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,6,24.4,146.4,Appelboombrug,52.3718149,5.2427145,0,0,9,2.1,2100,318630A66AD73498E0535B320A0A7C56,Hoefbladpad,Groengebieden/Parken,Parkwijk,Almere Stad,145160.766,487117.72
2292,Watercypresbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,7.7,10.5,80.9,Verzetsbrug,53.0547268,5.4049582,0,0,9,2,2100,318630A66AB63498E0535B320A0A7C56,Spoorbaanpad,Groengebieden/Parken,Verzetswijk,Almere Stad,145296.693,487644.158
2293,Joris Ivensbrug,Verkeersbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,10.5,8.7,91.3,Joris Ivensbrug,51.8439641,5.8658635,0,0,7,2,2100,318630A66B1A3498E0535B320A0A7C56,Joris Ivenslaan,Groengebieden/Parken,Filmwijk,Almere Stad,144912.679,486135.425
2295,Simon van Collembrug,Verkeersbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,9,8.8,79.2,Simon van Collembrug,,,0,0,8,2,2100,318630A66B6D3498E0535B320A0A7C56,Simon van Collemstraat,Groengebieden/Parken,Filmwijk,Almere Stad,145238.083,486313.027
2297,Carpapoort,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,8.8,46,405,Volksdansbrug_Veluwsekant,52.3579157,5.2543634,4.7,2.7,13.7,3.1,2100,318630A66A9C3498E0535B320A0A7C56,Veluwedreef,Groengebieden/Parken,Veluwsekant,Almere Stad,145896.7962,485797.7773
2298,Lubitschbrug,Verkeersbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,5.2,24.2,126,Hal Roachpoort_Filmwijkoever,,,4.6,,9,2,2100,318630A66B4C3498E0535B320A0A7C56,Caprastraat,Groengebieden/Parken,Filmwijk,Almere Stad,145608.232,485641.996
2299,Volksdansbrug,Fiets-voetbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,4.6,24.2,112,Volksdansbrug_Veluwsekant,52.3579157,5.2543634,4,,9,2,2100,318630A66A9B3498E0535B320A0A7C56,Volksdanspad,Groengebieden/Parken,Veluwsekant,Almere Stad,145933.7168,485816.2376
2300,Isadora Duncanbrug,Verkeersbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,9.2,15.4,142,Volksdansbrug_Danswijk,26.5423046,-81.8744663,5.5,,13.4,2,2100,318630A66B223498E0535B320A0A7C56,Isadora Duncanweg,Groengebieden/Parken,Danswijk,Almere Stad,146146.79,486080.828
2301,Karoenbruggen,Verkeersbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,9.5,24.5,158,Karoenbruggen,52.3636799,5.2561215,7.2,,8.1,2.1,2100,318630A66B213498E0535B320A0A7C56,Polkastraat,Groengebieden/Parken,Danswijk,Almere Stad,146076.243,486188.724
2302,Salsabrug,Verkeersbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,9.6,15.5,149,Karoenbruggen,52.3636799,5.2561215,5.5,,13,2,2100,318630A66B1E3498E0535B320A0A7C56,Salsastraat,Groengebieden/Parken,Danswijk,Almere Stad,145932.458,486397.608
2303,Ballarinapoort,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,9,69.7,697,Salsabrug,47.80949,13.05501,6.5,,10,6,2100,318630A66B1D3498E0535B320A0A7C56,Hagevoortdreef,Groengebieden/Parken,Danswijk,Almere Stad,145841.018,486650.875
2304,Danslaanpoort,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,13.3,20,266,Hagevoortdreef_Parkwijk 1,52.3678542,5.2531359,5.2,2.8,,,2100,318630A66B1F3498E0535B320A0A7C56,Hagevoortdreef,Hoofdwegen,Parkwijk,Almere Stad,146005.855,486738.975
2305,Hagevoortbrug,Verkeersbrug,Concrete,2. Good,2001,SB AIB,Gemeente Almere,Existing,13,126.7,1647.1,Hoge Vaart Danswijk,52.3658645,5.2558597,7,,15,7,2100,318630A66B203498E0535B320A0A7C56,Hoge Vaart,Groengebieden/Parken,Danswijk,Almere Stad,146284.032,486858.425
2306,Mangobrug,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,5.2,24.1,126,Mangobrug,68.3280943,15.6198243,4.6,,9,2,2100,318630A66B1C3498E0535B320A0A7C56,Ballerinapad,Groengebieden/Parken,Parkwijk,Almere Stad,145805.772,486721.697
2307,Perzikbrug,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,9,15.6,140.4,Mangobrug,68.3280943,15.6198243,5.6,,13.6,2,2100,318630A66B1B3498E0535B320A0A7C56,Perzikstraat,Groengebieden/Parken,Parkwijk,Almere Stad,145650.048,486877.759
2308,Malevitsjpoort,Verkeersbrug,Concrete,2. Good,2001,SB AIB,Gemeente Almere,Existing,7.5,12,90,Hagevoortdreef_Tussen de Vaarten 4,52.3707308,5.2629943,7,,,,2100,318630A66B243498E0535B320A0A7C56,Hagevoortdreef,Hoofdwegen,Tussen de Vaarten,Almere Stad,146627.669,487027.096
2309,Michelangelobrug,Verkeersbrug,Concrete,2. Good,2001,SB AIB,Gemeente Almere,Existing,7.3,96.9,707.4,BH Chagallbrug,,,7,,15,7,2100,318630A66B283498E0535B320A0A7C56,Hagevoortdreef,Hoofdwegen,Tussen de Vaarten,Almere Stad,146808.631,487142.958
2310,Renaissancepoort,Verkeersbrug,Concrete,2. Good,2001,SB AIB,Gemeente Almere,Existing,6.8,12,81.6,Hagevoortdreef_Tussen de Vaarten 2,52.3707308,5.2629943,6.5,,0,0,2100,318630A66B873498E0535B320A0A7C56,Hagevoortdreef,Hoofdwegen,Tussen de Vaarten,Almere Stad,147102.483,487322.065
2311,Appelbrug,Verkeersbrug,Concrete,2. Good,2001,Provincie Flevoland,Gemeente Almere,Existing,5,154,770,Hoge Vaart Danswijk 2,52.3572454,5.2662485,4.5,,20,6,2100,318630A66B883498E0535B320A0A7C56,Hoge Vaart,Groengebieden/Parken,Parkwijk,Almere Stad,146021.108,487328.249
2312,ALM2312,Verkeersbrug,Concrete,2. Good,2001,SB AIB,Gemeente Almere,Existing,5.2,31.3,162.8,Charlotte van Pallandtlaan_Gracht,52.0896407,4.375517,5,,8,0.7,2100,318630A66B893498E0535B320A0A7C56,Escherpad,Groengebieden/Parken,Tussen de Vaarten,Almere Stad,146106.569,487313.655
2314,ALM2314,Verkeersbrug,Concrete,2. Good,2001,SB AIB,Gemeente Almere,Existing,5,73.6,368,Appelpad,52.1887991,5.540215,5,,9,0.8,2100,318630A66B8A3498E0535B320A0A7C56,Appelpad,Groengebieden/Parken,Tussen de Vaarten,Almere Stad,146344.004,487449.745
2318,ALM2318,Verkeersbrug,Concrete,2. Good,2002,SB AIB,Gemeente Almere,Existing,5.2,30.2,157,Chagallbrug,,,4.8,,8,1.7,2100,318630A66B8B3498E0535B320A0A7C56,Appelpad,Groengebieden/Parken,Tussen de Vaarten,Almere Stad,146498.0316,487498.161
2319,ALM2319,Verkeersbrug,Concrete,2. Good,2002,SB AIB,Gemeente Almere,Existing,3,30,90,Chagallbrug,,,2.9,,8,1.2,2100,318630A66B8C3498E0535B320A0A7C56,Giacomettipad,Groengebieden/Parken,Tussen de Vaarten,Almere Stad,146636.163,487371.292
2320,Chagallbrug,Verkeersbrug,Concrete,2. Good,2002,SB AIB,Gemeente Almere,Existing,9,30.2,271.8,Michelangelobrug,51.2046484,3.2244695,5.5,,8,1.1,2100,318630A66B273498E0535B320A0A7C56,Chagallweg,Groengebieden/Parken,Tussen de Vaarten,Almere Stad,146797.472,487190.301
2501,Landdrostpoort,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,16,39,624,CS Brug,52.0878834,5.1111478,2.3,2.7,12.5,3.3,2100,318630A66ACC3498E0535B320A0A7C56,Landdrostdreef,Groengebieden/Parken,Centrum Almere Stad,Almere Stad,143753.665,487657.025
2506,Mokerpoort,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,19,22.5,427.5,Dinkelbrug,52.250073,7.0196955,14,,,,2200,318630A66ACD3498E0535B320A0A7C56,Stadswetering,Groengebieden/Parken,Waterwijk,Almere Stad,143879.132,487993.87
2509,Maaspoort,Verkeersbrug,Concrete,2. Good,1983,SB AIB,Gemeente Almere,Existing,18,18,324,Randstaddreef_Waterwijk 3,52.3774555,5.225969,14.8,,,,2100,318630A66AC23498E0535B320A0A7C56,Randstaddreef,Hoofdwegen,Waterwijk,Almere Stad,143647.188,488183.693
2510,Waterwijkpoort,Verkeersbrug,Concrete,2. Good,1983,SB AIB,Gemeente Almere,Existing,8.8,42,369.6,Randstaddreef_Waterwijk 1,52.3774555,5.225969,7,,,,2100,318630A66AC13498E0535B320A0A7C56,Randstaddreef,Hoofdwegen,Waterwijk,Almere Stad,143529.41,488223.4
2511,Zaagbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,22,37,814,Waterpasbrug,52.3837849,5.2184991,14,,,,2300,318630A66ABE3498E0535B320A0A7C56,Markerdreef,Groengebieden/Parken,Markerkant,Almere Stad,143406.851,488422.147
2512,Waterpaspoort,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,8,22,176,Waterpasbrug,52.3837849,5.2184991,5,,,,2100,318630A66ABF3498E0535B320A0A7C56,Markerkant 11,Groengebieden/Parken,Markerkant,Almere Stad,143518.067,488452.358
2515,IJsselmeerbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,9.4,22.3,209.6,IJsselmeerbrug,52.7978321,5.3235903,5.6,,14.8,2,2100,318630A66AB83498E0535B320A0A7C56,IJsselmeerweg,Groengebieden/Parken,Waterwijk,Almere Stad,143737.152,488944.702
2518,Karperpoort,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,9.6,20,192,Madisonpoort,52.3930231,5.2279502,5,2.7,13,2.2,2100,318630A66B393498E0535B320A0A7C56,Karperweg,Groengebieden/Parken,Waterwijk,Almere Stad,144208.624,489360.987
2520,Zalmbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,9.4,22.3,209.6,Baarsweg,51.8582624,4.3521581,5.6,,14.8,2,2100,318630A66AA93498E0535B320A0A7C56,Tjeukemeerstraat,Woongebied,Waterwijk,Almere Stad,144323.858,489060.814
2521,Eerste Pirellibrug,Verkeersbrug,Concrete,2. Good,1983,SB AIB,Gemeente Almere,Existing,14,88,1232,Hoge Vaart_Eerste Pirellibrug,52.4147026,5.5878963,7.4,,30.5,5.4,2100,318630A66AC03498E0535B320A0A7C56,Hoge Vaart,Groengebieden/Parken,Waterwijk,Almere Stad,144894.098,489208.449
2523,Bruinvisbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,8.4,22.3,187.3,Bruinvisbrug,52.3873341,5.23222,5.6,,15,2,2100,318630A66AA83498E0535B320A0A7C56,Bruinvispad,Groengebieden/Parken,Waterwijk,Almere Stad,144447.257,488834.936
2535,Verzetspoort,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,8,40.5,324,Jan Postmabrug,-28.3221387,23.0719589,7.4,,,2.6,2100,318630A66B6A3498E0535B320A0A7C56,Vrijheidsdreef,Groengebieden/Parken,Verzetswijk,Almere Stad,144975.98,488220.529
2536,Vrijheidsbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,12.5,88.5,106.3,Artsenverzet,52.2431151,6.1678985,7.4,4,30,5.5,2100,318630A66B693498E0535B320A0A7C56,Von Draispad,Groengebieden/Parken,Verzetswijk,Almere Stad,145265.92,488500.038
2547,Tweede Geuzenbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,15,88.5,1327.5,Von Draispad,52.3782096,5.2501839,7.4,,30,5.5,2100,318630A66AB53498E0535B320A0A7C56,Geuzenpad,Woongebied,Verzetswijk,Almere Stad,145438.106,488182.365
2548,Humberbrug,Verkeersbrug,Concrete,2. Good,1992,SB AIB,Gemeente Almere,Existing,4,24,96,Jan Postmabrug,-28.3221387,23.0719589,3.5,,9,2,2100,318630A66B6B3498E0535B320A0A7C56,Humberpad,Groengebieden/Parken,Verzetswijk,Almere Stad,144953.966,488261.235
2549,Eerste Geuzenbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,5.8,14.5,84.1,Verzetsbrug,53.0547268,5.4049582,5.4,,5,2,2100,318630A66AB33498E0535B320A0A7C56,Geuzenpad,Groengebieden/Parken,Verzetswijk,Almere Stad,145114.455,487989.253
2550,Verzetsbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,9.3,15.5,144.2,Verzetsbrug,53.0547268,5.4049582,5.2,,12,2,2100,318630A66AB43498E0535B320A0A7C56,Verzetslaan,Groengebieden/Parken,Verzetswijk,Almere Stad,145221.939,487806.785
2551,15 Augustusbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,3.8,10.6,40.3,Verzetsbrug,53.0547268,5.4049582,0,0,9.5,2,2100,318630A66AB73498E0535B320A0A7C56,Spoorbaanpad,Groengebieden/Parken,Verzetswijk,Almere Stad,145289.071,487681.627
2753,Sikkelklaverpoort,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,11.4,21,239.4,Laurierstraat,52.3718967,4.8797719,5,2.7,15,2.5,2100,318630A66AF83498E0535B320A0A7C56,Mierikswortelpad,Woongebied,Kruidenwijk,Almere Stad,142854.279,488088.453
2754,Kruidenwijkpoort,Verkeersbrug,Concrete,2. Good,1983,SB AIB,Gemeente Almere,Existing,8.8,36.3,319.44,Spoordreef_Kruidenwijk 1,52.3734865,5.2149066,7,,,,2100,318630A66ABC3498E0535B320A0A7C56,Spoordreef,Hoofdwegen,Kruidenwijk,Almere Stad,143068.622,488015.959
2755,Melissepoort,Verkeersbrug,Concrete,2. Good,1983,SB AIB,Gemeente Almere,Existing,18,18,324,Melissepad,52.5187249,6.0451833,14.8,,,,2100,318630A66ABD3498E0535B320A0A7C56,Spoordreef,Woongebied,Kruidenwijk,Almere Stad,143033.887,487916.944
2761,Landvoogdpoort,Verkeersbrug,Concrete,2. Good,1980,SB AIB,Gemeente Almere,Existing,22,22.8,524.4,Algerabrug,51.9169283,4.5792456,17.5,2.5,12.5,2,2200,318630A66AC83498E0535B320A0A7C56,Waddendreef,Groengebieden/Parken,Staatsliedenwijk,Almere Stad,143186.463,487452.709
2762,Wisselbrug,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,3.2,12.4,39.7,Algerabrug,51.9169283,4.5792456,2.8,,12.5,1.5,2100,318630A66BD03498E0535B320A0A7C56,Landvoogdpad,Groengebieden/Parken,Staatsliedenwijk,Almere Stad,143181.6076,487487.7957
2767,Tuinkruidenpoort,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,18.8,64.6,607.2,Tuinkruidenpoort,52.3734637,5.1996039,5.2,2.1,13,2.7,2100,318630A66B063498E0535B320A0A7C56,Muziekdreef,Groengebieden/Parken,Muziekwijk,Almere Stad,142228.6554,487316.6747
2774,Parkweteringbrug,Verkeersbrug,Concrete,2. Good,1980,SB AIB,Gemeente Almere,Existing,9.6,61.2,578.5,Hoepelbrug,52.3751879,5.2059253,0,0,21,4.1,2100,318630A66B083498E0535B320A0A7C56,Waddendreef,Groengebieden/Parken,Kruidenwijk,Almere Stad,142715.4845,487309.6247
2780,Wipbrug,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,11.5,31.5,362.3,Krijgertjebrug,52.3827042,5.1902592,7,,22,2.5,2100,318630A66B263498E0535B320A0A7C56,Clauspad,Groengebieden/Parken,Kruidenwijk,Almere Stad,141707.458,488123.349
2788,Beemsterbrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,8.4,25.2,211.7,Hollandsekant,52.363445,5.1744229,8,,8,2,2100,318630A66B463498E0535B320A0A7C56,Beemsterweg,Groengebieden/Parken,Hollandsekant,Almere Stad,140800.253,486304.286
2789,Chet Bakerpoort,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,10.5,40.5,409.5,Hollandsekant,52.363445,5.1744229,7.5,,1512,3.2,2100,318630A66B453498E0535B320A0A7C56,Hollandsedreef,Groengebieden/Parken,Hollandsekant,Almere Stad,140845.343,486431.148
2790,Ella Fitzgeraldbrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,3.6,25.8,92.9,Charlie Parkerbrug,39.2664566,-81.5456576,,,8.5,2,2100,318630A66BD23498E0535B320A0A7C56,Ella Fitzgeraldpad,Groengebieden/Parken,Muziekwijk,Almere Stad,140909.2809,486626.0202
