Assetnumber,AssetName,AssetType,ConstructionType,Maintainance State,Buildyear,Maintainer,Owner,Status,Width,Length,Area,Location,Latitude,Longitude,Passage road-width,Passage road-height,Passage sail-width,Passage sail-height,Technical lifespan expires,OBJECT_GUID,Area,Connection Type,Neighborhood,City,RD-X,RD-Y
2032,Hinkelbrug,Fiets-voetbrug,Steel,1. Perfect,2014,SB AIB,Gemeente Almere,Existing,5.2,24,125,Amsterdambrug,52.3635898,4.9024018,5.2,,9.5,2.2,2300,29D8A2970354C5C5E0500A0A57326FCA,Den Uylpad,Groengebieden/Parken,Stedenwijk,Almere Stad,142723.096,486875.369
2758,Algerabrug,Fiets-voetbrug,Steel,1. Perfect,2018,SB AIB,Gemeente Almere,Existing,5.4,26,140.4,Algerabrug,51.9169283,4.5792456,5,,10,2,2068,486B057D-1072-428B-A0B5-98D349B0456C,J. Algerapad,Groengebieden/Parken,Staatsliedenwijk,Almere Stad,143164.1646,487573.6412
2772,Bliklopenbrug,Fiets-voetbrug,Steel,1. Perfect,2018,SB AIB,Gemeente Almere,Existing,3,24.8,74.4,Schommelbrug,52.3747266,5.2002742,,,5,1.75,2068,4CDEA820-6D5C-494F-BCBF-64787ADEA2AF,Beatrixpad,Groengebieden/Parken,Kruidenwijk,Almere Stad,142120.7429,487596.1578
2781,Krijgertjebrug,Fiets-voetbrug,Steel,1. Perfect,2014,SB AIB,Gemeente Almere,Existing,5.1,33.3,170,Krijgertjebrug,52.3827042,5.1902592,3,,7,2.2,2200,29D8A29703A7C5C5E0500A0A57326FCA,Clauspad,Groengebieden/Parken,Kruidenwijk,Almere Stad,141577.004,488338.913
2809,Bergklaverbrug,Fiets-voetbrug,Steel,1. Perfect,2015,SB AIB,Gemeente Almere,Existing,3,25,75,Bergklaverbrug,52.3824193,5.2100489,5,,10.5,1.8,2200,29D8A296D1E9C5C5E0500A0A57326FCA,Bergklaverpad,Groengebieden/Parken,Kruidenwijk,Almere Stad,142932.195,488303.289
2912,2e Trekvogelbrug,Fiets-voetbrug,Steel,1. Perfect,2016,Flevolandschap,Gemeente Almere,Existing,3.6,10,36,Lepelaarplassen,52.4056692,5.2157733,3.1,,7.8,1.1,2066,29D8A296D1F9C5C5E0500A0A57326FCA,Trekvogelpad,Buitengebied,overig Almere Stad,Almere Stad,143960.3561,491855.0426
5016,E,Fiets-voetbrug,Steel,1. Perfect,2012,SB AIB,Gemeente Almere,Existing,3,23,69,Overgooische Zoom,52.3312476,5.2653635,2.8,,7,0.2,0,318630A66BF03498E0535B320A0A7C56,Kloosterbos,Groengebieden/Parken,Overgooi,Almere Haven,146687.4769,482663.5256
5030,,Fiets-voetbrug,Steel,1. Perfect,2012,SB AIB,Gemeente Almere,Existing,1.45,14.3,20.75,Gracht Zwaanplantsoen_Zomertortellaan,52.3407968,5.3092392,1.45,,1,1.5,0,318630A66BDD3498E0535B320A0A7C56,Boomvalkpad,Groengebieden/Parken,Vogelhorst,Almere Hout,149509.7669,483565.6248
0002,De Valreep,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,20.8,14.2,295.4,Noorderdreef_A6,52.3509026,5.2170244,5.9,,,,2300,318630A66B603498E0535B320A0A7C56,Noorderdreef,Hoofdwegen,overig Almere Haven,Almere Haven,143404.549,484872.566
0008,Burgersbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,History,12.5,24.8,310,Spanningsveld 2,52.3555313,5.2041511,3.5,2.8,0,0,2200,318630A66B6C3498E0535B320A0A7C56,Paralleldreef,Groengebieden/Parken,overig Almere Stad,Almere Stad,142312.233,484950.04
1001,Hoekbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,9.6,22.5,216,Hoekbrug,-25.8028425,29.4496852,5.5,0,15,1.2,2100,318630A66B4D3498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Wierden,Almere Haven,142490.362,483378.67
1003,Kimbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,9.6,22.5,216,Kimbrug,40.4819697,-88.9426306,5.5,0,15,1.2,2100,318630A66B4F3498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Wierden,Almere Haven,142822.0215,483265.6091
1005,Strandbrug,Verkeersbrug,Concrete,2. Good,1977,SB AIB,Gemeente Almere,Existing,9.9,20.3,200.1,Zandbrug,52.0961735,5.1160987,0,0,9.5,2,2300,318630A66B503498E0535B320A0A7C56,Westerdreef,Groengebieden/Parken,De Wierden,Almere Haven,143079.5396,483234.6494
1008,Wierdenbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,8.8,21.3,187.4,Langsbrug,42.8903086,-84.3513631,0,0,10,1.2,2300,318630A66B483498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Hoven,Almere Haven,143274.1542,483225.5659
1009,Bivakbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,6.6,5.2,34.5,Schoolbrug,51.2191227,4.4270182,6,,4,1.3,2300,318630A66B733498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,Centrum Almere Haven,Almere Haven,143402.0049,483248.5775
1012,Kroegbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,3.7,5.8,22,Kroegbrug,52.3360948,5.2208837,3,,4.2,1.5,2300,318630A66B753498E0535B320A0A7C56,Kerkgracht,Groengebieden/Parken,Centrum Almere Haven,Almere Haven,143620.974,483129.251
1013,Kerkbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,3.7,5.8,22,Kroegbrug,52.3360948,5.2208837,3,,4.2,1.5,2300,318630A66B743498E0535B320A0A7C56,Kerkgracht,Groengebieden/Parken,Centrum Almere Haven,Almere Haven,143665.521,483152.678
1014,Raadhuisbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,8.8,5.4,48,Kroegbrug,52.3360948,5.2208837,4.8,,4.1,1.5,2300,318630A66B773498E0535B320A0A7C56,Kerkgracht,Groengebieden/Parken,Centrum Almere Haven,Almere Haven,143718.4753,483118.8849
1016,Wittebrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,8.6,20.3,175,Hangbrug,38.4632471,-105.3224059,5,,18.5,2.6,2300,318630A66B5E3498E0535B320A0A7C56,Goedewerf,Groengebieden/Parken,De Werven,Almere Haven,144041.675,483085.173
1021,Zuidbrug,Verkeersbrug,Concrete,2. Good,1977,SB AIB,Gemeente Almere,Existing,21.2,27.5,583,Zuidbrug,50.7321998,4.2379488,4.8,2.8,17,2.6,2300,318630A66B643498E0535B320A0A7C56,Lange Wetering,Groengebieden/Parken,De Grienden,Almere Haven,144326.227,483347.827
1023,Griendenbrug,Verkeersbrug,Concrete,2. Good,1980,SB AIB,Gemeente Almere,Existing,9,26.3,237,Bosbrug,-26.2325897,28.2409671,7.2,,16.8,3,2300,318630A66B493498E0535B320A0A7C56,Lange Wetering,Groengebieden/Parken,De Grienden,Almere Haven,144714.209,483846.819
1025,Wervenbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,8.8,19.2,169,Uitlaatbrug,33.8676171,-118.2137036,7,,11.2,1,2300,318630A66B633498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Werven,Almere Haven,143955.114,483363.581
1029,Voorstraatbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,11.4,21.4,244,Voorstraatbrug,52.4944223,5.4819285,4.5,2.5,11,2,2300,318630A66B443498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Hoven,Almere Haven,143621.365,483650.398
1035,Vrijbrug,Verkeersbrug,Concrete,2. Good,1977,SB AIB,Gemeente Almere,Existing,9.4,18,169.2,Canadabrug,51.21234,3.20683,5.5,,13,1.1,2300,318630A66B4B3498E0535B320A0A7C56,Brugmark,Groengebieden/Parken,De Marken,Almere Haven,143896.327,484213.083
1036,Markenbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,8.8,13.8,121.4,Markenbrug,52.3471225,5.2253835,7,,9.1,1,2300,318630A66B553498E0535B320A0A7C56,Hofmark,Groengebieden/Parken,De Marken,Almere Haven,144017.059,484299.786
1039,De Meet,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,22,34.1,750.2,Steigerdreef 1,52.3500931,5.226558,5.9,2.5,0,0,2300,318630A66B533498E0535B320A0A7C56,Noorderdreef,Hoofdwegen,De Steiger,Almere Haven,143591.055,484488.607
1042,Bobbelbrug,Verkeersbrug,Concrete,2. Good,1975,SB AIB,Gemeente Almere,Existing,11.1,21.5,238.7,Krombrug,52.3447643,5.2152775,0,2.4,,2,2300,318630A66B523498E0535B320A0A7C56,Polderhofpad,Groengebieden/Parken,De Gouwen,Almere Haven,143278.173,483945.395
