Latitude,Longitude
143404.549,484872.566
142881.385,484504.435
142572.752,484335.572
142419.359,484543.598
142312.233,484950.04
141962.535,484857.71
142125.699,484487.868
141019.4283,484004.5408
141590.194,484320.132
139787.844,482893.384
139603.435,482810.59
138503.4202,483452.4712
142490.362,483378.67
142664.568,483356.112
142822.0215,483265.6091
142906.3235,483163.9262
143079.5396,483234.6494
143152.832,482983.885
143234.4868,483200.7918
143274.1542,483225.5659
143402.0049,483248.5775
143620.974,483129.251
143665.521,483152.678
143718.4753,483118.8849
143737.5326,482853.5755
144041.675,483085.173
144336.761,483081.338
144091.9549,483220.2981
144269.598,483325.439
144326.227,483347.827
144636.3492,483553.5008
144714.209,483846.819
144732.4443,483898.6717
143955.114,483363.581
143883.4992,483437.5975
143807.7656,483579.2344
143915.2,483711.878
143621.365,483650.398
143501.4694,483799.6535
143543.591,484002.881
143531.3737,484097.4836
143663.811,484073.202
143745.8749,484075.1354
143896.327,484213.083
144017.059,484299.786
144116.6735,484380.9295
144432.0191,484551.27
143591.055,484488.607
143415.928,484220.818
143279.9351,484112.1069
143278.92,484116.157
143278.173,483945.395
143324.061,483865.335
143307.3093,483795.7762
143166.974,483774.529
143058.7474,483713.3742
142919.728,483587.519
142941.87,483750.5807
142810.099,483818.876
142762.203,483864.111
142589.904,484053.6546
142480.079,483884.714
142328.758,483449.942
144910.906,484173.574
145756.554,484473.9878
146674.5312,483724.7783
142938.45,483378.753
143995.6357,483354.7193
147299.469,485212.965
143465.741,483230.7132
142411.091,483683.314
142486.8879,483919.1279
142573.0333,484021.1692
142951.79,485432.495
143040.275,485612.481
143034.9833,485622.4029
142929.016,485792.045
142875.023,485898.058
142805.447,485957.779
142663.779,486006.391
142612.26,485982.363
142543.095,485814.642
142416.746,485746.939
142293.655,485677.477
142149.0653,485459.3985
141993.903,485376.343
141838.26,485281.597
141837.171,484980.121
141719.709,485220.901
141678.306,485495.787
140621.888,486432.026
141982.252,485982.363
142227.019,486123.556
142672.286,486146.099
143093.568,486234.676
142680.599,486330.091
142405.814,486324.818
142488.061,486501.744
142671.785,486416.783
142712.251,486529.578
142494.133,486584.432
142738.805,486629.845
142668.354,486675.874
142704.824,486790.051
142723.096,486875.369
142527.5354,486893.2327
142588.782,486918.482
142744.45,486905.748
142779.5357,487047.1223
142954.8489,486878.8428
143120.197,486886.355
143207.981,486876.509
143231.833,486774.692
143257.316,486676.872
143109.336,486957.721
143189.24,487096.863
143285.683,487254.022
142732.2269,487249.0679
142391.695,487147.219
142431.605,486851.781
142299.761,486787.989
142207.141,486721.224
142124.6568,486660.2358
142049.79,486603.5
141883.04,486479.678
141815.35,486427.727
141757.519,486287.509
141710.22,486149.558
141695.635,486105.08
141649.225,485973.148
141468.303,486025.314
140307.9962,485656.515
142670.835,486439.648
140839.114,486046.372
141602.671,485847.453
141507.656,485555.123
141255.285,485334.55
140869.679,484937.275
141078.01,485238.529
140844.036,485112.042
140938.965,484812.355
141229.546,484961.014
141479.646,485090.566
140997.79,484829.86
141787.808,485764.619
141327.455,486080.645
140900.582,485724.716
143271.428,486576.853
144018.7264,487017.2299
144370.086,486222.414
144567.461,486120.702
144479.676,486281.782
143665.529,487505.61
143783.65,487530.588
143721.877,487341.111
143825.716,487349.555
143974.4773,487210.0393
144001.01,487034.001
144043.311,486785.507
143908.175,485835.894
145136.656,485119.179
145768.579,485996.349
145633.062,486225.022
145527.028,486504.026
144519.739,486444.074
144598.394,486691.702
144549.774,486776.352
144696.693,486866.505
144831.923,486945.381
144878.319,486972.448
146589.525,486422.792
144680.1617,487343.0896
144404.465,487324.192
144735.376,487213.541
144996.162,486776.917
145265.932,486612.002
145473.041,486492.565
145467.2853,485540.1019
146007.064,485589.133
144191.018,487271.099
144622.5171,487362.1232
144709.895,486084.16
144724.324,486035.016
145314.13,487467.83
145339.429,487291.005
145398.407,487243.18
145525.064,487044.254
145270.676,487181.039
145160.766,487117.72
145012.854,487037.897
145296.693,487644.158
144912.679,486135.425
145072.579,486223.527
145238.083,486313.027
145158.844,485360.994
145896.7962,485797.7773
145608.232,485641.996
145933.7168,485816.2376
146146.79,486080.828
146076.243,486188.724
145932.458,486397.608
145841.018,486650.875
146005.855,486738.975
146284.032,486858.425
145805.772,486721.697
145650.048,486877.759
146627.669,487027.096
146808.631,487142.958
147102.483,487322.065
146021.108,487328.249
146106.569,487313.655
146344.004,487449.745
146498.0316,487498.161
146636.163,487371.292
146797.472,487190.301
146990.252,486870.338
146924.711,487001.405
146592.703,486741.06
146725.159,486802.852
146470.7233,486689.897
146844.11,486856.963
146563.569,488126.846
146810.261,487989.768
146892.829,487871.817
146762.356,487921.079
143753.665,487657.025
144066.261,487697.176
143725.554,487761.833
143908.385,487801.289
143715.268,487928.723
143879.132,487993.87
144026.783,488035.478
144188.23,488077.294
143647.188,488183.693
143529.41,488223.4
143406.851,488422.147
143518.067,488452.358
143391.11,488787.895
143652.109,488691.941
143737.152,488944.702
143828.626,489099.829
144143.882,489253.884
144208.624,489360.987
144246.537,489178.468
144323.858,489060.814
144894.098,489208.449
144394.003,488945.97
144447.257,488834.936
144874.0608,488630.2986
144300.659,488533.626
144278.064,488455.798
144214.982,488373.779
144503.747,488221.9794
144527.1226,488693.2906
144520.477,488686.202
144859.594,488399.251
144569.849,487873.908
144725.919,488061.726
144975.98,488220.529
145265.92,488500.038
145636.934,488705.19
144329.327,487680.697
145438.106,488182.365
144953.966,488261.235
145114.455,487989.253
145221.939,487806.785
145289.071,487681.627
145390.275,488691.575
145505.195,488713.585
145692.334,488869.986
145852.386,488965.555
145548.554,488816.699
143265.573,488174.082
142854.279,488088.453
143068.622,488015.959
143033.887,487916.944
143141.342,487728.763
142995.136,487640.145
143164.1646,487573.6412
143263.866,487594.191
143299.799,487410.192
143186.463,487452.709
143181.6076,487487.7957
143001.769,487388.16
142560.501,487267.759
142657.627,487491.37
142228.6554,487316.6747
142260.652,487439.419
142317.2638,487572.1206
142312.341,487574.582
142351.626,487596.7174
141953.805,487423.191
142120.7429,487596.1578
142184.223,487650.249
142715.4845,487309.6247
141863.241,487845.298
141758.649,487839.13
141654.811,487778.571
